vidId,vidTitle,vidUrl,viewCount,likeCount,chanName,chanUrl,subsCount,vidCount,category;;;;;
hIfCpmAFwI8,Spongebob | Memanggil Kakek buyut buyut buyut Tuan Krabs| | Nickelodeon Bahasa,https://www.youtube.com/watch?v=hIfCpmAFwI8,3465664,21604,Nickelodeon Bahasa,https://www.youtube.com/channel/UCTJDdO9klWGpTekswnXreGQ,5820000,990,1;;;;;
6HB8Lq64ysQ,SpongeBob | SpongeBob dan Tn. Krabs Menyelinap ke Penjara | Nickelodeon Bahasa,https://www.youtube.com/watch?v=6HB8Lq64ysQ,855275,3948,Nickelodeon Bahasa,https://www.youtube.com/channel/UCTJDdO9klWGpTekswnXreGQ,5820000,990,1;;;;;
QxbF-tXyLd4,NUSSA : MAKAN JANGAN ASAL MAKAN,https://www.youtube.com/watch?v=QxbF-tXyLd4,143839089,755611,Little Giantz,https://www.youtube.com/channel/UCV2jNjJEtO0Hr3b1Es3xPJg,8980000,268,1;;;;;
CvcJyWNXaZU,@AphmauKawaii - chan and Zane Funny Moments - Minecraft #shorts,https://www.youtube.com/watch?v=CvcJyWNXaZU,11380584,431895,Little Mob Craft,https://www.youtube.com/channel/UC9mWjp-BI4nNv5UE524Tx8A,1400000,1229,1;;;;;
0_HpxlXOowA,Carilah yang Mau Berjuang Bersama ! 🥰 || Kamu tim A atau B? #shorts by Kevin Kaez,https://www.youtube.com/watch?v=0_HpxlXOowA,59526270,1400320,Kevin Kaez,https://www.youtube.com/channel/UCHREPLGjsPw9dHstKOEkUkQ,3560000,1716,1;;;;;
-H7BHCLDtVQ,SpongeBob SquarePants | Mobil gelembung | Nickelodeon Bahasa,https://www.youtube.com/watch?v=-H7BHCLDtVQ,14327012,64031,Nickelodeon Bahasa,https://www.youtube.com/channel/UCTJDdO9klWGpTekswnXreGQ,5820000,990,1;;;;;
PiOWY-h54pc,Kamp Koral | SpongeBob SUPER Kaya &amp; Patrick! | Nickelodeon Bahasa,https://www.youtube.com/watch?v=PiOWY-h54pc,10330452,52078,Nickelodeon Bahasa,https://www.youtube.com/channel/UCTJDdO9klWGpTekswnXreGQ,5820000,990,1;;;;
ORr_Sm9U8-M,日軍炮轟計劃就要實施，為阻止敵軍行動神槍小子700米外草叢匍匐，一槍爆頭敵指揮官！【抗日】,https://www.youtube.com/watch?v=ORr_Sm9U8-M,1463816,10488,华语热血剧场,https://www.youtube.com/channel/UC9xk2QzeEw_obCUqxJ7ntQg,416000,2393,1;;;;;
64UGsor7yeY,VIRAL ❗EHSAN BISA BERUBAH MENJADI JARJIT ❓| Cerita Elpida #shorts #youtubeshorts #shortsvideo,https://www.youtube.com/watch?v=64UGsor7yeY,6828299,130173,Cerita Elpida,https://www.youtube.com/channel/UCunY0dQ2l6HVz7pDTcy4o1w,688000,1504,1;;;;;
q_ihG8k0Ziw,MONSTER SEDOT LEMAK ?! | Klara Tania #shorts,https://www.youtube.com/watch?v=q_ihG8k0Ziw,8457254,686314,Klara Tania,https://www.youtube.com/channel/UC4rHBMP2rGPuFk9F-JlGzbQ,9160000,1586,1;;;;;
FaIg8LeIDYY,The Porsche Taycan x Back to the Future,https://www.youtube.com/watch?v=FaIg8LeIDYY,198214,7594,Porsche,https://www.youtube.com/channel/UC_BaxRhNREI_V0DVXjXDALA,1180000,2546,2;;;;;
0FREFQFoy6g,Perjalanan Mencari Cahaya: Kisah Pulang Mudik Setelah 4 Tahun Terhalang Pandemi,https://www.youtube.com/watch?v=0FREFQFoy6g,9537080,253,Hyundai Motors Indonesia,https://www.youtube.com/channel/UCkhbQClk7tV-_G5nn0pkFXg,204000,317,2;;;;;
AKbhRSVKmVw,FIAT I Siga a Fiat Toro,https://www.youtube.com/watch?v=AKbhRSVKmVw,21865420,497,Fiat Automóveis Brasil,https://www.youtube.com/channel/UCww4HYJZlIk3fRgqTWEW4cA,823000,473,2;;;;;
HebA3Z3Ysjs,Lintas Masa – Berbagi Kebahagiaan Lewat Musik Tradisional di Kota Solo,https://www.youtube.com/watch?v=HebA3Z3Ysjs,8955247,210,ToyotaIndonesia,https://www.youtube.com/channel/UCxVa64ZcWGi_VStlkfmoteQ,674000,787,2;;;;;
JUjkRIFZ7Do,Why the 1300 HP Turbo Axle Failed,https://www.youtube.com/watch?v=JUjkRIFZ7Do,2244908,74685,Donut,https://www.youtube.com/channel/UCL6JmiMXKoXS6bpP1D3bk8g,7700000,1411,2;;;;;
VSPNO-TJ8hA,How to Program Your Subaru Vehicle’s Memory Power Seat and Mirrors,https://www.youtube.com/watch?v=VSPNO-TJ8hA,121927,429,Subaru,https://www.youtube.com/channel/UCw0N2zPZlYsrUcVIJkI6mBA,466000,902,2;;;;;
Qb7F3A8RjSQ,How to Use Remote Engine Start,https://www.youtube.com/watch?v=Qb7F3A8RjSQ,156185,429,Honda,https://www.youtube.com/channel/UC22zQ9nBEk6KOjUWqR5XXZg,576000,1512,2;;;;;
X9VXONMv7OM,Auto Locks | Ford How-To | Ford,https://www.youtube.com/watch?v=X9VXONMv7OM,1326284,4851,Ford Motor Company,https://www.youtube.com/channel/UCKA96UxTdgFBwGZMGZ-135w,2280000,655,2;;;;;
ykGAmwZI9rI,Subaru How-to: HomeLink Garage Door Pairing,https://www.youtube.com/watch?v=ykGAmwZI9rI,737150,1811,Subaru,https://www.youtube.com/channel/UCw0N2zPZlYsrUcVIJkI6mBA,466000,902,2;;;;;
RaLXHG3tWmU,YAMAHA GEAR 125 NEW COLOR,https://www.youtube.com/watch?v=RaLXHG3tWmU,1310550,112,Yamaha Motor Indonesia,https://www.youtube.com/channel/UCDE454ZKSWksDbQDw7pyxUg,66800,108,2;;;;;
LmZko--zqN4,Kia&#39;s world of inspiration | #DesignedToInspire,https://www.youtube.com/watch?v=LmZko--zqN4,37165746,690,Kia India,https://www.youtube.com/channel/UCfiOn3My37t_fahQE6VhyuA,417000,466,2;;;;
xVDBWTSVmMs,Gold Medal Advice From April Ross &amp; Candace Parker | Ep.3 | Dreams Keep Driving,https://www.youtube.com/watch?v=xVDBWTSVmMs,1949919,58,Togethxr,https://www.youtube.com/channel/UCsKsEa8CDh20DHutrmr6mCg,130000,256,2;;;;
SwLnWpzrZx0,+Gain Ground with 9 Series Tractors | John Deere,https://www.youtube.com/watch?v=SwLnWpzrZx0,311668,3961,John Deere,https://www.youtube.com/channel/UCxeAYuhwAPAsSP7Gtfeml0g,289000,1760,2;;;;;
YEouCI5qsFI,Hyundai EV Mobile Charging Service | Isi Ulang Hyundai Anda di Segala Kondisi,https://www.youtube.com/watch?v=YEouCI5qsFI,986221,82,Hyundai Motors Indonesia,https://www.youtube.com/channel/UCkhbQClk7tV-_G5nn0pkFXg,204000,317,2;;;;;
Q0h2n1F7ASk,Ford SecuriCode® Keyless Entry Keypad | Ford How-To | Ford,https://www.youtube.com/watch?v=Q0h2n1F7ASk,189191,1157,Ford Motor Company,https://www.youtube.com/channel/UCKA96UxTdgFBwGZMGZ-135w,2280000,655,2;;;;;
QvFoRk4JsPc,Autonomous 8R Tractor | John Deere Precision Ag,https://www.youtube.com/watch?v=QvFoRk4JsPc,364990,3737,John Deere,https://www.youtube.com/channel/UCxeAYuhwAPAsSP7Gtfeml0g,289000,1760,2;;;;;
lDVmGLkw3zo,First-ever Hyundai Tucson N Line,https://www.youtube.com/watch?v=lDVmGLkw3zo,52812162,27,Hyundai Australia,https://www.youtube.com/channel/UCvEchHqZhjoyfQJTnhwmehA,41200,303,2;;;;;
pssUAn85cbk,WeatherTech Side Window Deflector Installation Video,https://www.youtube.com/watch?v=pssUAn85cbk,732469,2660,WeatherTech,https://www.youtube.com/channel/UCTu-ytEHtR_0eKmOhAyWiyg,23000,581,2;;;;;
"CsfeWM21zQw,""Safety, Assistance and Security in the New S-Class"",https://www.youtube.com/watch?v=CsfeWM21zQw,119156,6247,Mercedes-Benz,https://www.youtube.com/channel/UClj0L8WZrVydk5xKOscI6-A,1770000,2075,2";;;;;
"4KPzPLMOh0k,""All New Agya, Move Forward with Advanced Features"",https://www.youtube.com/watch?v=4KPzPLMOh0k,7238107,91,ToyotaIndonesia,https://www.youtube.com/channel/UCxVa64ZcWGi_VStlkfmoteQ,674000,787,2";;;;;
"RNXXRPsuoKA,""Satu Mimpi, Satu Keluarga: Kisah Pulang Kampung Setelah Belasan Tahun Merantau"",https://www.youtube.com/watch?v=RNXXRPsuoKA,22778143,220,Hyundai Motors Indonesia,https://www.youtube.com/channel/UCkhbQClk7tV-_G5nn0pkFXg,204000,317,2";;;;;
-Uq54leKcsI,Ford MyKey® | Ford How-To | Ford,https://www.youtube.com/watch?v=-Uq54leKcsI,143157,776,Ford Motor Company,https://www.youtube.com/channel/UCKA96UxTdgFBwGZMGZ-135w,2280000,655,2;;;;;
cFwrB3OAqZI,How Maserati Is Staging A Comeback,https://www.youtube.com/watch?v=cFwrB3OAqZI,407751,6252,CNBC,https://www.youtube.com/channel/UCvJJ_dzjViJCoLf5uKUTwoA,3030000,14936,2;;;;;
-0sou7CAmPc,Four-Wheel-Drive Systems | Ford How-To | Ford,https://www.youtube.com/watch?v=-0sou7CAmPc,98705,766,Ford Motor Company,https://www.youtube.com/channel/UCKA96UxTdgFBwGZMGZ-135w,2280000,655,2;;;;;
ayXr3PKKxY0,Download and install a Remote Software Upgrade with your My BMW App – BMW How-To,https://www.youtube.com/watch?v=ayXr3PKKxY0,865528,1367,BMW,https://www.youtube.com/channel/UCYwrS5QvBY_JbSdbINLey6Q,1360000,743,2;;;;;
t4cMAbNUHUk,IONIQ 6 Digital World Premiere Highlights | IONIQ Lineup,https://www.youtube.com/watch?v=t4cMAbNUHUk,3865052,1663,HyundaiWorldwide,https://www.youtube.com/channel/UC5f97D60yHa7UE9rFfbej8g,643000,827,2;;;;;
s1Ojzs4P_Nc,Mitsubishi New Xpander Owning Style and Performance,https://www.youtube.com/watch?v=s1Ojzs4P_Nc,2170638,249,Mitsubishi Motors Indonesia,https://www.youtube.com/channel/UCwnY-zUiFdgpHdF0dsjlK6g,74800,207,2;;;;;
"IaDom3ATzEs,""All New Agya, Here to Provide Comfort and Reliable Drive for All"",https://www.youtube.com/watch?v=IaDom3ATzEs,4643706,109,ToyotaIndonesia,https://www.youtube.com/channel/UCxVa64ZcWGi_VStlkfmoteQ,674000,787,2";;;;;
e7QqzkTCQEU,How to Use Android Auto in Your Toyota | Toyota,https://www.youtube.com/watch?v=e7QqzkTCQEU,554277,2115,Toyota USA,https://www.youtube.com/channel/UC1pOTJteEef10zJM0cHs4iQ,660000,2750,2;;;;;
x6MdafHcCQw,All New Voxy with the New Toyota Safety Sense 3.0 Features,https://www.youtube.com/watch?v=x6MdafHcCQw,667255,97,ToyotaIndonesia,https://www.youtube.com/channel/UCxVa64ZcWGi_VStlkfmoteQ,674000,787,2;;;;;
6C6xjFZ-V4k,2022 Mitsubishi Outlander | How to Operate the 3-Zone Climate Control,https://www.youtube.com/watch?v=6C6xjFZ-V4k,582240,37,Mitsubishi Motors North America,https://www.youtube.com/channel/UC3gTU9KkYiotq_F-UXukBag,44100,171,2;;;;;
ys0Wt6adS5Y,INI DIA SOLUSI TUTUP TANGKI HONDA PCX YANG MACET SUSAH DIBUKA 😎 #shorts #tips #pcx,https://www.youtube.com/watch?v=ys0Wt6adS5Y,32049,772,Edie Arta,https://www.youtube.com/channel/UCkcCZiwFRzD7W5SddSMQ-BQ,2850,424,2;;;;;
KQgVevASbbg,The mission? Innovation! Powered by the all new BMW i5 | #shorts,https://www.youtube.com/watch?v=KQgVevASbbg,1327141,8100,BMW Group,https://www.youtube.com/channel/UCv_N2TJ6EBx56eMUK8GwhDQ,64900,262,2;;;;;
-Y_2fWcLBR8,All New Veloz with Advanced Safety Feature,https://www.youtube.com/watch?v=-Y_2fWcLBR8,2158923,93,ToyotaIndonesia,https://www.youtube.com/channel/UCxVa64ZcWGi_VStlkfmoteQ,674000,787,2;;;;;
